"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC#1 : Verify that search the Product on Amazon.in and purchase it","8651","test_amazonPage","All Test Suite","2026-03-10","broken","2026-03-10","com.avinashsinha.tests.amazon.TestAmazonPage","C:/Users/HP/Documents/Selenium_Automation_Projects","com.avinashsinha.tests.amazon.TestAmazonPage","test_amazonPage"
"","1","openBrowser","Surefire suite","2026-03-10","broken","2026-03-10","com.avinashsinha.tests.flipkart.TestFlipkartPage","Surefire test","com.avinashsinha.tests.flipkart.TestFlipkartPage","openBrowser"
"TC#1 : Verify that after Login Add the Total Amount shown on Dashboard Page","3","test_appliToolsPage","All Test Suite","2026-03-10","skipped","2026-03-10","com.avinashsinha.tests.appliTools.TestAppliToolsPage","C:/Users/HP/Documents/Selenium_Automation_Projects","com.avinashsinha.tests.appliTools.TestAppliToolsPage","test_appliToolsPage"
"","2","openBrowser","All Test Suite","2026-03-10","broken","2026-03-10","com.avinashsinha.tests.amazon.TestAmazonPage","C:/Users/HP/Documents/Selenium_Automation_Projects","com.avinashsinha.tests.amazon.TestAmazonPage","openBrowser"
"TC#2 : Verify that error message with Invalid Username","2709","testInvalidUsername","Default Suite","2026-03-11","passed","2026-03-11","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","Selenium_Automation_Projects","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","testInvalidUsername"
"","1","openBrowser","All Test Suite","2026-03-10","broken","2026-03-10","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","C:/Users/HP/Documents/Selenium_Automation_Projects","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","openBrowser"
"TC#1 : Verify that search the Product on Flipkart.com and purchase it","1","test_flipkartPage","Surefire suite","2026-03-10","skipped","2026-03-10","com.avinashsinha.tests.flipkart.TestFlipkartPage","Surefire test","com.avinashsinha.tests.flipkart.TestFlipkartPage","test_flipkartPage"
"TC#1 Verify that search the Product on Flipkart.com and purchase it","19762","test_FlipkartPage","Default Suite","2025-12-31","passed","2025-12-31","com.avinashsinha.tests.flipkart.TestFlipkartPage","Selenium_Automation_Projects","com.avinashsinha.tests.flipkart.TestFlipkartPage","test_FlipkartPage"
"","1","openBrowser","All Test Suite","2026-03-10","broken","2026-03-10","com.avinashsinha.tests.appliTools.TestAppliToolsPage","C:/Users/HP/Documents/Selenium_Automation_Projects","com.avinashsinha.tests.appliTools.TestAppliToolsPage","openBrowser"
"TC#1 : Verify that successful login with Valid Credentials","4539","testValidLogin","Default Suite","2026-03-11","passed","2026-03-11","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","Selenium_Automation_Projects","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","testValidLogin"
"TC#3 : Verify that error message with Invalid Password","2723","testInvalidPassword","Default Suite","2026-03-11","passed","2026-03-11","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","Selenium_Automation_Projects","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","testInvalidPassword"
"TC#5 : Verify that capture the screenshot during Intentional Failure","3826","testIntentionalFailureForScreenshot","Default Suite","2026-03-11","failed","2026-03-11","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","Selenium_Automation_Projects","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","testIntentionalFailureForScreenshot"
"TC#4 : Verify that Logout Functionality","3993","testLogout","Default Suite","2026-03-11","passed","2026-03-11","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","Selenium_Automation_Projects","com.avinashsinha.tests.practiceTestAutomation.TestPracticeTestAutomationPage","testLogout"
